Respondent_ID,What is your age group?_discretized,What is your gender?_discretized,What is the highest level of education youâ€™ve completed? _discretized,How often do you watch movies?_discretized,How often do you stop watching movies before finishing them?_discretized,Have you ever started watching a movie but did not finish it?_binary,unfinished_movie_2_reasons_binary,unfinished_movie_4_reasons_binary,likes_action,likes_comedy,likes_drama,likes_horror,likes_romance,likes_science_fiction_sci-fi,likes_documentary,likes_thriller,likes_family,likes_adventure,likes_fantasy,likes_historical,drops_due_to_boring_uninteresting_plot,drops_due_to_poor_acting_or_characters,drops_due_to_too_long_slow_pacing,drops_due_to_technical_issues,drops_due_to_distractions_or_interruptions,drops_due_to_not_in_the_right_mood,total_liked_genres,total_drop_reasons,engagement_score,dropout_tendency,high_engagement_user,high_dropout_user
1,2,1.0,4,2.0,2,1,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,6,6.0,2.0,0,0
2,1,2.0,1,2.0,3,1,0.0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,3,6,6.0,2.0,0,0
3,1,2.0,3,2.0,1,1,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,3,5,6.0,1.6666666666666667,0,0
4,1,1.0,3,1.0,3,1,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
5,1,2.0,3,1.0,2,1,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
6,1,2.0,1,1.0,2,1,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
7,1,1.0,1,1.0,3,1,0.0,0.0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,6,6,6.0,1.0,0,0
8,1,1.0,3,2.0,2,1,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,4,6,8.0,1.5,0,0
9,1,2.0,3,4.0,1,1,0.0,0.0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,9,6,36.0,0.6666666666666666,1,0
10,1,1.0,3,1.0,3,1,0.0,0.0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,6,6,6.0,1.0,0,0
11,2,1.0,5,2.0,0,0,0.0,0.0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,5,6,10.0,1.2,1,0
12,1,2.0,1,3.0,1,1,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,5,6,15.0,1.2,1,0
13,1,2.0,3,0.0,2,1,0.0,0.0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,4,6,0.0,1.5,0,0
14,1,1.0,3,1.0,3,1,0.0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
15,1,2.0,1,4.0,1,1,0.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
16,2,1.0,4,4.0,2,1,0.0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
17,1,2.0,1,1.0,3,1,0.0,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
18,1,1.0,4,3.0,1,1,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,4,6,12.0,1.5,1,0
19,1,2.0,3,4.0,2,1,0.0,0.0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
20,2,1.0,5,2.0,2,1,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3,6,6.0,2.0,0,0
21,1,1.0,5,0.0,1,1,0.0,0.0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,8,6,0.0,0.75,0,0
22,1,1.0,3,4.0,1,1,0.0,0.0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,4,6,16.0,1.5,1,0
23,1,1.0,4,0.0,3,1,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,3,6,0.0,2.0,0,0
24,2,1.0,3,4.0,3,1,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
25,1,1.0,3,2.0,3,1,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,6.0,2.0,0,0
26,1,1.0,3,2.0,2,1,0.0,0.0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,5,6,10.0,1.2,1,0
27,2,0.0,4,4.0,1,1,0.0,0.0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,6,6,24.0,1.0,1,0
28,1,2.0,3,2.0,2,1,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,3,6,6.0,2.0,0,0
29,1,1.0,3,3.0,2,1,0.0,0.0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,4,6,12.0,1.5,1,0
30,2,1.0,4,4.0,1,1,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
31,1,1.0,4,4.0,3,1,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
32,2,1.0,1,2.0,2,1,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,5,4.0,2.5,0,1
33,1,1.0,4,1.0,2,1,0.0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
34,2,1.0,4,1.0,2,1,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
35,1,1.0,3,1.0,1,1,0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
36,1,1.0,4,4.0,3,1,0.0,0.0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,5,6,20.0,1.2,1,0
37,1,1.0,3,1.0,1,1,0.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,3,5,3.0,1.6666666666666667,0,0
38,1,1.0,2,3.0,2,1,0.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,3,6,9.0,2.0,0,0
39,1,1.0,2,3.0,2,1,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,4,9.0,1.3333333333333333,0,0
40,1,2.0,2,0.0,2,1,0.0,0.0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,7,5,0.0,0.7142857142857143,0,0
41,1,1.0,2,0.0,1,1,0.0,0.0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,5,5,0.0,1.0,0,0
42,1,1.0,4,2.0,0,0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,6.0,2.0,0,0
43,1,1.0,1,1.0,1,1,0.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
44,1,1.0,2,3.0,0,0,0.0,0.0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,5,6,15.0,1.2,1,0
45,1,1.0,2,4.0,2,1,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,3,5,12.0,1.6666666666666667,1,0
46,1,1.0,2,4.0,3,1,0.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
47,1,1.0,2,3.0,1,1,0.0,0.0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,5,6,15.0,1.2,1,0
48,1,4.0,2,4.0,2,1,0.0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
49,4,1.0,2,1.0,2,1,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,6,3.0,2.0,0,0
50,1,2.0,1,4.0,2,1,0.0,0.0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,5,6,20.0,1.2,1,0
51,1,2.0,1,4.0,1,1,0.0,0.0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,5,6,20.0,1.2,1,0
52,2,1.0,4,3.0,3,1,0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,4,6,12.0,1.5,1,0
53,2,1.0,4,0.0,1,1,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,3,6,0.0,2.0,0,0
54,1,1.0,2,4.0,1,1,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,6,8.0,3.0,0,1
55,1,2.0,2,0.0,1,1,0.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,0.0,2.0,0,0
56,4,1.0,2,4.0,1,0,0.0,0.0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
57,4,2.0,5,1.0,0,0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
58,1,1.0,2,4.0,2,1,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
59,2,1.0,4,2.0,2,1,0.0,0.0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,5,6,10.0,1.2,1,0
60,1,1.0,1,3.0,2,1,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,3,6,9.0,2.0,0,0
61,1,2.0,2,2.0,3,1,0.0,0.0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,7,6,14.0,0.8571428571428571,1,0
62,1,2.0,2,3.0,2,1,0.0,0.0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,6,6,18.0,1.0,1,0
63,1,1.0,5,0.0,2,1,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,3,6,0.0,2.0,0,0
64,1,1.0,2,2.0,2,1,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,3,5,6.0,1.6666666666666667,0,0
65,1,1.0,2,4.0,3,1,0.0,0.0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,4,6,16.0,1.5,1,0
66,1,1.0,2,1.0,2,1,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
67,2,1.0,4,4.0,1,1,0.0,0.0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,3,6,12.0,2.0,1,0
68,1,1.0,4,3.0,4,1,0.0,0.0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,3,6,9.0,2.0,0,0
69,1,1.0,2,2.0,3,1,0.0,0.0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,4,6,8.0,1.5,0,0
70,1,2.0,2,0.0,2,1,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,2,5,0.0,2.5,0,1
71,2,2.0,2,3.0,2,1,0.0,0.0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,6,6,18.0,1.0,1,0
72,1,1.0,2,1.0,3,1,0.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
73,1,2.0,1,2.0,2,1,0.0,0.0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,5,6,10.0,1.2,1,0
74,1,2.0,2,3.0,1,1,0.0,0.0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,5,6,15.0,1.2,1,0
75,1,1.0,2,1.0,1,1,0.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,3.0,2.0,0,0
76,2,1.0,2,4.0,2,1,0.0,0.0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,7,5,28.0,0.7142857142857143,1,0
77,1,1.0,4,1.0,2,1,0.0,0.0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,6,6,6.0,1.0,0,0
